Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
Dem. Rep. Congo,"The DRC has no AI-specific legislation, strategy, or regulatory framework of any kind as of mid-2026. Persistent institutional fragility, active armed conflict in eastern regions, and severely limited digital infrastructure continue to preclude any AI policy development; only general telecommunications and ICT laws exist and these do not address AI.","No AI policy instruments of any type exist in the DRC; there are no binding rules, published guidance, sandboxes, or dedicated AI bodies, and general ICT regulatory capacity remains extremely weak.","Digital and ICT policy is nominally overseen by the Ministry of Posts, Telecommunications and New Information Technologies (MPTNTIC) as a single, under-resourced body with no AI remit; there is no multi-regulator landscape, no formal coordination mechanism, no subnational AI role, and no independent judicial or ombudsman review of AI matters.","No structured domestic engagement involving industry, civil society, or academia in AI governance exists; the DRC holds nominal African Union membership and thus is nominally exposed to AU AI initiatives such as the AU AI Continental Strategy, but demonstrates no active documented participation in international AI governance forums or standard-setting processes.","There is no AI enforcement framework, no designated enforcement authority, no recorded enforcement actions, and no monitoring or auditing activity of any kind related to AI systems in the DRC.",,https://www.itu.int/en/ITU-D/Regional-Presence/Africa/Pages/Publications/2023/AI_Africa.aspx|https://au.int/en/ai|https://unctad.org/topic/science-technology-and-innovation/digital-economy/artificial-intelligence,2026-06-13,low
Denmark,"Denmark enacted Law No. 467 of 14 May 2025 (Act on Supplementary Provisions to the Regulation on Artificial Intelligence), becoming the first EU member state to implement national AI Act legislation, with the act applicable from 1 July 2025. The EU AI Act applies directly as horizontal cross-sector binding regulation covering all risk tiers; full high-risk provisions enter force August 2026. Implementation is substantially operational — prohibited-practice provisions active since February 2025, GPAI rules since August 2025 — though some high-risk annexes phase in through 2026-2027, keeping implementation just below fully complete.","Denmark combines the directly applicable EU AI Act with a national supplementary act providing enforcement powers (injunctions, bans, administrative fines), plus Datatilsynet's extensive compliance guidance and 13+ updated national guidance documents published in 2025. Economic tools include AI-Boost (EDIH centred on AI), GUDP R&D funding, and digital innovation hub support for SMEs, representing a moderate but active suite of programs.","A lead body (Digitaliseringsstyrelsen/Agency for Digital Government) coordinates market surveillance alongside Datatilsynet and the Danish Court Administration, with a formal multi-authority framework established under Law No. 467; subnational actors such as municipalities implement national rules through KL guidance but do not independently regulate AI. Courts and the ombudsman provide occasional independent review.","Denmark engages industry and civil society through published consultations and the Joint Government Digital Strategy 2026-2029 process, with universities (e.g., University of Copenhagen AI Package) contributing advisory input; Denmark is highly active internationally via the EU AI Board, Nordic cooperation, OECD.AI, and GPAI.","A comprehensive penalty framework exists under Law No. 467 including administrative fines (bødeforelæg) and broader EU AI Act penalties, with Datatilsynet's 2026 supervisory priorities targeting AI in healthcare monitoring; however, routine published AI-specific enforcement actions are not yet established given the framework's recent entry into force.","EU AI Act / Regulation (EU) 2024/1689 (2024), Act on Supplementary Provisions to the Regulation on Artificial Intelligence / Lov nr. 467 af 14. maj 2025 (2025), Danish Data Protection Act (2018), Joint Government Digital Strategy 2026-2029",https://www.twobirds.com/en/capabilities/artificial-intelligence/ai-legal-services/ai-regulatory-horizon-tracker/denmark|https://regulations.ai/regulations/RAI-DK-NA-SPAILXX-2025|https://ppc.land/denmark-sets-precedent-with-early-ai-act-implementation-legislation/|https://en.digst.dk/digital-governance/new-technologies/danish-strategies-for-artificial-intelligence/|https://www.dataguidance.com/news/denmark-datatilsynet-publishes-2025-annual-report,2026-06-13,high
Djibouti,"Djibouti has no dedicated AI legislation, strategy, or regulatory framework as of June 2026. No binding AI rules have been drafted or enacted, and no AI-specific instruments of any kind are documented. General ICT governance remains rudimentary, with no AI coverage in any sector.","No AI-specific policy instruments, guidelines, sandboxes, or dedicated institutional bodies exist in Djibouti. There are no documented funding programs, procurement rules, or soft-law guidance targeting artificial intelligence.","AI governance responsibilities are entirely absent as a distinct function; no lead body, sectoral regulator, or coordination mechanism has been established. Djibouti is a highly centralized unitary state with no subnational regulatory role and no independent review mechanism for AI.","No structured involvement of industry, civil society, or academia in AI policy development is documented in Djibouti, and the country has not been identified as a signatory or active participant in any international AI governance declaration or standards body.","With no AI legal framework in place, there are no penalties defined, no enforcement actions taken, no authority designated for AI oversight, and no monitoring or audit activity of any kind.",,https://oecd.ai/en/dashboards/countries/Djibouti|https://www.itunews.itu.int/|https://www.mpttn.dj/,2026-06-13,low
Dominica,"Dominica has no dedicated AI legislation, regulatory framework, or national AI strategy as of mid-2026. The country's engagement with AI governance remains limited to participation in regional CARICOM mechanisms; no binding AI rules have been drafted or enacted at the national level.","No AI-specific policy instruments, guidance documents, sandboxes, or dedicated institutional bodies exist in Dominica; the country relies entirely on general existing legislation with no AI-specific adaptation.","There is no dedicated AI governance structure, oversight body, or assigned ministry in Dominica; no formal coordination mechanisms, subnational roles, or independent review processes for AI exist.","No domestic stakeholder engagement mechanisms—industry, civil society, or academic—have been established for AI policy; Dominica's only international AI governance participation is as a CARICOM member state that endorsed the Santiago Declaration.","There are no AI-specific sanctions, enforcement actions, designated enforcement authority, or monitoring practices in Dominica.",,https://caricom.org|https://oecd.ai/en/dashboards/countries/Dominica,2026-06-13,low
Dominican Republic,"The Dominican Republic has no enacted binding AI legislation as of mid-2026; an AI bill (introduced in the Senate by Senator Rafael Duluc and a separate bill by Congressman Tobías Crespo in February 2025) remains under committee study and has not been passed. The country's primary AI instrument is the National Artificial Intelligence Strategy (ENIA, 2023), which is a policy document without legal force, supplemented by participation in the Santiago and Cartagena regional declarations.","Policy mechanisms are confined to soft instruments: the ENIA (2023) sets strategic priorities, and the country has signed regional declarations; a Memorandum of Understanding with NVIDIA was reported in 2025, and OGTIC leads implementation with thin resources, citing weak inter-institutional coordination and resource constraints.","No dedicated AI regulatory body exists; OGTIC (Government Office for ICT) and the Cabinet of Innovation and Digital Development hold de facto AI governance leadership without a multi-regulator structure, and coordination among institutions is described by the government itself as weak. The judiciary has no active AI oversight role.","The ENIA was developed with input from public institutions, academia, and the private sector (including a CAF-funded consultancy), but structured civil society and industry participation remains ad hoc rather than institutionalized; internationally, the Dominican Republic participates in PARLATINO model law discussions and hosted the 3rd Ministerial Summit on AI Ethics.","No AI-specific enforcement framework, sanctions, or dedicated authority exists; all existing instruments are non-binding strategies or pending bills, making any monitoring or enforcement action impossible at this stage.","National Artificial Intelligence Strategy – ENIA (2023), AI Bill submitted to Dominican Senate (2023, still in committee), AI Bill submitted by Congressman Tobías Crespo (February 2025, still in committee), National Innovation Policy 2030 (2022)",https://oecd.ai/en/dashboards/policy-initiatives/national-artificial-intelligence-strategy-enia|https://wtlgovernance.com/jurisdiction/dominican-republic/|https://www.ipandetec.org/gobernanza-de-internet/regulacion-de-la-inteligencia-artificial-en-centroamerica-y-republica-dominicana-tendencias-legislativas-2025/|https://www.senadord.gob.do/comision-de-educacion-superior-continua-analisis-proyecto-de-ley-inteligencia-artificial/|https://informationdemocracy.org/wp-content/uploads/2025/11/FID_IPANDETEC_INSIGHT_Nr_6.pdf,2026-06-13,medium
East Timor,"East Timor (Timor-Leste) has no AI-specific legislation, no binding AI rules proposed or enacted, and no AI governance framework of any kind. The country's regulatory environment remains focused on foundational digital and telecommunications infrastructure, and AI governance is not an active legislative priority as of mid-2026.","No AI policy instruments of any type exist — no binding rules, no published guidance or codes of practice, no AI-specific funding or sandbox programs, and no dedicated institutional body for AI oversight.","There is no AI governance structure in Timor-Leste; no single authority, no inter-agency coordination mechanism, no subnational AI role, and no independent review body or court engagement on AI matters.","No structured involvement of industry, civil society, or academia in AI policy exists domestically, and Timor-Leste has not participated in international AI governance declarations or multilateral AI standards processes.","There is no enforcement framework, no designated authority, no sanctions, and no monitoring or auditing activity related to AI in Timor-Leste.",,https://mof.gov.tl | https://oecd.ai/en/dashboards,2026-06-13,low
Ecuador,"As of mid-2026, Ecuador has enacted no AI-specific legislation and no binding AI rules are in force or formally in the legislative pipeline. The country continues to rely on the 2021 Organic Law of Personal Data Protection and general telecommunications regulations as indirect, non-AI-targeted frameworks, with no horizontal or sectoral AI statute drafted.","Ecuador has no dedicated AI binding instruments, no published AI-specific guidance or codes of practice, no AI sandbox or public funding programs, and no designated institution with an AI mandate; digital governance remains fragmented across SUPERTEL and the data protection authority without AI-specific capacity.",Digital and data governance responsibilities are split across SUPERTEL and the data protection authority but without any formal coordination mechanism for AI; there is no subnational AI regulatory role and judicial review of AI-related matters remains incidental and rare.,"Ecuador lacks structured domestic multi-stakeholder processes involving industry, civil society, or academia on AI policy; internationally, Ecuador participates in regional Latin American digital governance discussions and engages with OECD digital policy frameworks at a declaratory level.","No AI-specific enforcement framework, designated enforcement authority, documented enforcement actions, or systematic monitoring of AI systems exists in Ecuador as of mid-2026.",Ley Orgánica de Protección de Datos Personales (2021),https://www.telecomunicaciones.gob.ec | https://www.registroficial.gob.ec | https://oecd.ai/en/dashboards/countries/Ecuador,2026-06-13,medium
Egypt,"Egypt has published its second National AI Strategy (2025–2030), an Egyptian Charter for Responsible AI (2023), and a March 2026 Guide to Egypt's National AI Governance Framework with a four-tier risk classification and mandatory compliance pathways for high-risk systems — but none of these constitute enacted legislation. The Draft AI Law remains in the parliamentary pipeline, meaning the only binding instruments touching AI are the Personal Data Protection Law No.151/2020 and the Cloud First Policy (2024), which are not AI-specific. AI is explicitly addressed across dedicated (non-binding) instruments, justifying a 3 on specificity.","Egypt's policy toolkit is dominated by soft law: the AI Charter, the National Guidelines for Trustworthy and Responsible AI, and the March 2026 Governance Framework Guide form a growing suite, while binding instruments remain limited to the PDPL and Cloud First Policy. Economic tools include the 'Our Future is Digital' training initiative (100,000 beneficiaries), AI research partnerships, and the Egyptian AI Institute, and institutions such as the NCAI and the Egyptian Center for Responsible AI (ECRAI) are designated and operational though thinly resourced without statutory enforcement powers.","Governance is highly centralised under the Ministry of Communications and Information Technology, with the NCAI as the apex coordinating body and ECRAI operationalising compliance — a lead-body-plus-sectoral-regulator (NTRA) structure with limited independent regulatory plurality. Egypt is a unitary state with no subnational AI governance role, and while civil society actors like Masaar participate in public debate and there is a general judiciary, no independent review mechanism specifically for AI has been established.","The NCAI includes private-sector representatives and consultations for strategy development engaged industry and academia (including university AI departments and the Egyptian AI Institute), but civil society organisations such as Masaar lack formal standing roles in policymaking. Egypt is internationally active — participating in UNESCO AI readiness assessments, hosting the OECD AI Review, adhering to OECD AI Principles, and engaging with African Union AI governance frameworks.","No AI-specific penalty framework exists in force; the March 2026 Governance Framework mandates ethical impact assessments and TEVV audits for high-risk AI, and ECRAI is designated to issue compliance certificates, but it lacks statutory enforcement powers pending the Draft AI Law, and no AI-specific enforcement actions have been recorded.","National AI Strategy First Edition (2021), Egyptian Charter for Responsible AI (2023), National AI Strategy Second Edition (2025-2030), Personal Data Protection Law No.151/2020, Cloud First Policy (2024), Draft Artificial Intelligence Law (2024, pending), Guide to Egypt's National AI Governance Framework (2026)",https://ai.gov.eg/SynchedFiles/ar/Resources/Guide%20to%20Egypt%E2%80%99s%20National%20AI%20Governance%20Framework%2015-3-2026.pdf|https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy|https://www.unesco.org/en/articles/egypt-charts-path-towards-ethical-and-inclusive-ai-unesco-support|https://digitalpolicyalert.org/event/25288-adopted-egyptian-charter-for-responsible-artificial-intelligence-including-design-requirements|https://regulations.ai/regulations/egypt-summary,2026-06-13,medium
El Salvador,"El Salvador enacted the Law for the Promotion of Artificial Intelligence and Technologies (Decreto Legislativo No. 234, published in the Diario Oficial No. 43 on 3 March 2025), a dedicated AI-specific statute covering IP rights for AI-generated outputs, a risk assessment framework, a national AI registry, and data protection requirements. The law is binding and in force but the implementing regulations and the newly created ANIA authority were still being established in their early operational phase as of mid-2026, making full implementation partial rather than complete.","The 2025 AI Law is the sole binding instrument; it mandates ANIA to issue regulatory criteria within 90 days of enactment and establish a National Registry of AI developers, but secondary guidance, sandbox programs, or dedicated funding mechanisms are not yet publicly documented. ANIA was established as a decentralized presidential body (Resolución No. 0001/2025), though its staffing, budget, and compliance infrastructure remain nascent.","Governance is centralized around ANIA as the single lead authority attached to the Presidency, with the State Cybersecurity Agency (ACE) playing a secondary role for public-sector AI systems; no formal multi-regulator coordination mechanism or meaningful subnational role exists. Given El Salvador's restrictive Foreign Agents Law (2025) and the broader weakening of civic space, independent judicial or ombudsman review of AI decisions remains limited.","The AI Law was passed without documented public consultation; industry, civil society, and academia had no formal standing roles, and the passage of the 2025 Foreign Agents Law further curtails civil society engagement. El Salvador has engaged in regional AI dialogues (Montevideo Declaration on AI ethics in Latin America, 2024) and is subject to international scrutiny, providing modest international involvement.","The 2025 AI Law establishes ANIA as the designated enforcement authority and references a risk assessment framework, but no comprehensive penalty regime, documented enforcement actions, or routine monitoring or audit mechanisms have been reported as of mid-2026.","Ley de Fomento a la Inteligencia Artificial y Tecnologías, Decreto Legislativo No. 234 (2025)",https://www.asamblea.gob.sv/sites/default/files/documents/decretos/277EFC88-1C8D-4ACD-BE44-9DAFD64C6797.pdf|https://digitalpolicyalert.org/event/27749-law-for-the-promotion-of-artificial-intelligence-and-technologies-decree-no-234-including-intellectual-property-regulation|https://www.loc.gov/item/global-legal-monitor/2025-03-25/el-salvador-new-law-encourages-development-of-artificial-intelligence/|https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2025/08/10D107.PDF|https://blplegal.com/artificial-intelligence-and-technologies-promotion-law/,2026-06-13,medium
Equatorial Guinea,"Equatorial Guinea has no documented AI-specific legislation, national strategy, or binding regulatory instrument of any kind as of mid-2026. No draft AI law has been reported in the legislative process, and no sector-specific AI rules exist.","No policy instruments of any type—binding, voluntary, or economic—have been identified for AI governance. There are no dedicated bodies, sandboxes, or funding programs related to AI.","No AI governance architecture exists; there is no designated regulator, coordinating mechanism, subnational framework, or independent oversight body with any AI remit.","No structured engagement of industry, civil society, or academia in AI policy has been documented, and Equatorial Guinea has not been identified as an active participant in any international AI governance forum or declaration.","There is no enforcement framework, no designated enforcement authority, and no recorded monitoring or enforcement actions relating to AI in Equatorial Guinea.",,https://oecd.ai/en/dashboards/countries/EquatorialGuinea,2026-06-13,low
Eritrea,"Eritrea has no AI governance framework, no binding AI legislation, and no regulatory activity as of June 2026. The country's extreme internet restrictions, minimal digital infrastructure, and deep international isolation mean no AI-specific or AI-relevant legal instruments exist or are under development.","No AI policy instruments of any kind exist in Eritrea — no binding rules, no published guidance, no funding programs, and no institutional body with any AI mandate.","Eritrea's highly centralized single-party state has no AI-specific regulatory structure; there are no sectoral regulators, no coordination mechanisms, no subnational governance role, and no independent judiciary or ombudsman capable of reviewing AI-related matters.","Eritrea does not participate in any international AI governance forums, has no structured domestic industry or civil society engagement on AI, and its universities have no known role in AI policy; independent civil society organizations are effectively absent.","No enforcement framework, sanctions, dedicated authority, or monitoring activity related to AI exists in Eritrea.",,https://freedomhouse.org/country/eritrea/freedom-net/2024|https://oecd.ai/en/dashboards/countries/Eritrea,2026-06-13,low
Estonia,"Estonia applies the EU AI Act (Regulation (EU) 2024/1689), which entered into force August 2024 with most major provisions becoming applicable on August 2, 2026 — placing Estonia at the global frontier for binding horizontal AI law as an EU member state. Estonia deliberately chose not to pursue standalone domestic AI legislation, relying instead on the directly applicable EU instrument supplemented by the Kratt AI and Data Action Plan 2024–2026 and the Data & AI White Paper 2024–2030. Implementation is partially in force (prohibited AI uses since Feb 2025, GPAI model obligations since Aug 2025, high-risk obligations activating Aug 2026), and the AI Act is a dedicated AI-specific horizontal instrument though not domestically authored.","The primary binding instrument is the EU AI Act, supplemented by GDPR and sectoral laws; Estonia has not added binding national AI-specific instruments on top. Soft law is well-developed: the Kratt Action Plan 2024–2026, Data & AI White Paper 2024–2030, RIA AI risk assessment guidance, and TTJA public compliance guidance together form a substantial suite. Economic tools include the Eesti.ai national AI adoption programme, the AI Leap 2025 education initiative (with a dedicated AI Leap Foundation), and innovation-friendly regulatory sandboxes. Institutional capacity is being built — TTJA has been designated a competent authority and AKI retains data-related oversight, but dedicated AI enforcement resources remain thin and the designation structure is still being consolidated.","AI oversight is distributed across several bodies — MKM (policy lead), TTJA (AI Act market surveillance), AKI (data protection), RIA (information systems/risk), and the State Chancellery (Eesti.ai coordination) — constituting a lead-body-plus-sectoral structure rather than a single authority or a fully pluralistic independent regulator landscape. Estonia is a unitary state with no sub-national AI governance whatsoever. Formal coordination is facilitated through the Kratt steering mechanism and cross-ministerial working groups, but remains largely ad hoc rather than institutionalised in a standing forum; courts and the Data Protection Inspectorate provide some independent review of AI-related data processing.","Industry has a formal standing role through the Eesti.ai Advisory Board of entrepreneurs and close collaboration on the AI Leap programme with OpenAI and Anthropic. Civil society participation in AI governance is notably weak — commentary from Estonian World highlights a governance structure dominated by a small group of technology executives with limited NGO or ethics-body input. Academic involvement is modest, with some advisory contributions to strategy documents but no formal standing advisory role. Internationally, Estonia is active as an OECD AI Principles signatory, member of the EU AI Board, and participant in NATO and INAISI discussions, reflecting strong but not frontier-setting international engagement.","The EU AI Act penalty framework (up to €35M or 7% of global turnover) applies directly in Estonia and TTJA has been formally designated as a competent authority for AI Act supervision, but as of late 2025 no enforcement actions have been reported, dedicated AI enforcement resources are limited, and systematic monitoring and public reporting on AI compliance remains nascent.","EU AI Act / Regulation (EU) 2024/1689 (2024), AI and Data Action Plan (Kratt) 2024–2026 (2024), Data and AI White Paper 2024–2030 (2024), GDPR / Regulation (EU) 2016/679 (2016), Personal Data Protection Act (2018), AI Action Plan (Kratt) 2022–2023 (2022), National AI Strategy (Kratt 1.0) (2019)",https://www.globallegalinsights.com/practice-areas/ai-machine-learning-and-big-data-laws-and-regulations/estonia/|https://www.magnussonlaw.com/ai-law/shadow-ai-eu-estonia-legal-risks/|https://riigikantselei.ee/en/eestiai-initiative|https://regulations.ai/regulations/estonia-summary|https://cms-lawnow.com/en/ealerts/2025/12/there-are-around-2-000-ai-market-surveillance-authorities-in-the-eu,2026-06-13,medium
Ethiopia,"Ethiopia's primary AI instrument is the National AI Policy adopted by the Council of Ministers in June 2024, which is a non-binding policy framework rather than enforceable legislation. The Personal Data Protection Proclamation No. 1321/2024 is binding law that incidentally covers AI-related data processing, and the EAII holds certification authority for imported AI products, but no dedicated AI Act or AI Proclamation has been enacted. Binding AI-specific rules remain aspirational, with the 2024 policy instructing sectoral regulators and the legislature to develop future implementing instruments.","The only binding instrument touching AI is the Personal Data Protection Proclamation 1321/2024 (primarily a data law); the National AI Policy and Cybersecurity Policy (both June 2024) are soft-law frameworks. The EAII is a designated, operational institution with a research and certification mandate but limited compliance infrastructure, while AI startup centers and sandboxes remain at planning stage.","AI governance is strongly centralized around the EAII, which reports directly to the Prime Minister's Office, with ECA handling data enforcement, MInT overseeing digital strategy, and INSA covering cybersecurity—but no formal inter-agency AI coordination mechanism exists. Ethiopia has no subnational AI regulatory role, and judicial or independent review of AI-specific decisions is minimal and ad hoc.","The National AI Policy was developed through a three-year consultative process involving industry, civil society, and academia, though these remain ad hoc consultation roles rather than standing formal ones; Ethiopia co-hosted the AU High-Level Dialogue on AI in Africa in May 2025, endorsed the Paris AI Action Summit Statement in February 2025, and participates in the Smart Africa Alliance and AU Continental AI Strategy.","No AI-specific sanctions framework or enforcement actions exist; the ECA has data-protection enforcement powers under Proclamation 1321/2024 that can apply to AI-related data processing, but there is no dedicated AI enforcement authority, no routine AI monitoring, and no published AI enforcement cases.","National Artificial Intelligence Policy (2024), Personal Data Protection Proclamation No. 1321/2024, Cybersecurity Policy (2024), Digital Ethiopia 2025 Strategy",https://digitalpolicyalert.org/digest/dpa-digital-digest-ethiopia|https://digitalpolicyalert.org/change/13879|https://regulations.ai/regulations/ethiopia-summary|https://www.mondaq.com/privacy-protection/1766200/ethiopian-personal-data-protection-law-proclamation-13212024-business-compliance-guide|https://au.int/en/pressreleases/20250517/communique-high-level-policy-dialogue-ai-africa,2026-06-13,medium
Fiji,"Fiji has no binding AI-specific legislation in force as of mid-2026; the National Digital Strategy 2025–2030 integrates AI into broader digital transformation goals but is a non-binding planning document, and a dedicated national AI framework is only planned for 2027. Existing oversight relies on general cybersecurity and online safety statutes (e.g., Online Safety Act 2018, Cybercrime Act 2021) that touch AI only incidentally.","Policy levers are confined to non-binding instruments: the National Digital Strategy 2025–2030 and a government commitment to an AI user-protection framework announced in 2024, plus an AI Hub launched with Australian partnership. No binding instruments or comprehensive standards suite exist; institutional capacity remains thin with no dedicated AI body.","Digital and AI policy is coordinated primarily through the Department of Communications without a dedicated AI regulator, and sectoral regulators have no explicit AI remits; formal inter-agency coordination on AI is ad hoc at best, with no meaningful subnational role and only general judicial review available.","Fiji's AI governance process involves some industry and civil-society consultation through digital strategy development, with academic input from institutions like the University of the South Pacific; internationally, Fiji participates in Pacific Islands Forum digital discussions and engaged with the AI Asia Pacific Institute report process, reaching signatory-level regional engagement.","There is no AI-specific sanctions framework, no designated AI enforcement authority, and no recorded enforcement actions or monitoring practice related to AI governance in Fiji.","National Digital Strategy 2025-2030, Online Safety Act (2018), Cybercrime Act (2021), Online Safety Act (2018)",https://council.science/wp-content/uploads/2026/02/Fiji-AI.pdf|https://www.fijitimes.com.fj/beyond-the-scope-fijis-digital-strategy/|https://www.trade.gov/country-commercial-guides/fiji-digital-economy|https://pacificislands.ai/ai-threats-in-fiji-and-data-protection-laws-could-this-new-strategy-be-too-little-too-late-2/|https://www.fijitimes.com.fj/plans-to-protect-ai-users/,2026-06-13,medium
Finland,"Finland has enacted national supplementing legislation to the EU AI Act in two stages: the first stage (Act on the Supervision of Certain AI Systems and amendments to market surveillance laws) was approved by the President on 22 December 2025 and entered into force on 1 January 2026, giving ten designated national authorities binding enforcement powers; the second stage, covering full high-risk AI system obligations, is expected by 2 August 2026. The EU AI Act itself is a dedicated, horizontal AI-specific instrument directly applicable since August 2024/2025, supplemented by Finland's own national AI supervision act—making the binding force and AI specificity both frontier-level, while implementation scores 4 rather than 5 as the second stage of national rules remains in legislative process as of June 2026.","Finland deploys multiple binding instruments (EU AI Act, national AI supervision act, market surveillance amendments, sector-specific authority mandates) alongside soft-law guidance from the Data Protection Ombudsman (AI and data protection guidelines, May 2025) and Business Finland AI funding calls (2026), the Elements of AI public literacy programme, and innovation sandboxes under the EU AI Act framework; ten designated market surveillance authorities are operational but rely largely on repurposed existing bodies rather than a fully staffed dedicated AI agency.","Finland operates a highly plural model with ten designated market surveillance authorities (Traficom, Data Protection Ombudsman, Finnish Safety and Chemicals Agency, Valvira, FIN-FSA, Energy Authority, Finnish Medicines Agency, and others) coordinated through the Ministry of Transport and Communications and the Ministry of Economic Affairs and Employment, with a formal working group (April 2024–June 2026) for legislative preparation; Finland is a unitary state with no subnational AI regulatory role, but the Data Protection Ombudsman and courts provide active independent checks.","Industry and civil society are consulted through government working groups and parliamentary processes but do not hold standing formal roles in AI policymaking; Finnish universities contribute advisory input (Elements of AI originated at University of Helsinki/Reaktor); internationally, Finland is a frontrunner in EU AI Act implementation, active in OECD, GPAI, Nordic AI cooperation, and Council of Europe AI Convention discussions, placing it at the global frontier for international engagement.","Finland has a comprehensive penalty framework under the EU AI Act and national supervision act (administrative fines tied to turnover thresholds), with ten designated authorities holding enforcement powers since 1 January 2026, but as of June 2026 published AI-specific enforcement actions under the new framework remain very limited, with monitoring practice still maturing under the newly operational regime.","EU AI Regulation (2024/1689), Act on the Supervision of Certain Artificial Intelligence Systems (2025/Finland, in force 1 January 2026), Amendments to Market Surveillance of Products Act (2025), Finland National AI Programme (AuroraAI, 2019-2023), Finland AI Strategy (2017, updated)",https://valtioneuvosto.fi/en/-/1410877/national-supervision-of-eu-artificial-intelligence-act-to-begin-laws-on-powers-of-authorities-to-take-effect-at-start-of-the-year|https://valtioneuvosto.fi/en/-/1410877/government-submits-to-parliament-legislation-to-implement-the-first-phase-of-eu-artificial-intelligence-act|https://tem.fi/en/ai-regulation|https://www.twobirds.com/en/capabilities/artificial-intelligence/ai-legal-services/ai-regulatory-horizon-tracker/finland|https://www.oph.fi/en/teemat-ja-kehittaminen/backround-material-artificial-intelligence-act,2026-06-13,high
France,"France is bound by the EU AI Act (in force August 2024), which provides horizontal, cross-sector coverage including prohibitions effective February 2025 and GPAI rules from August 2025; broader high-risk provisions become applicable August 2026. France has not yet formally enacted its domestic transposition decree designating national competent authorities (the draft multi-authority model with DGCCRF as single point of contact was published in September 2025 but not yet adopted by Parliament as of mid-2026), so implementation is partial and in transition. The AI Act is a dedicated AI-specific instrument supplemented by CNIL's binding GDPR-based algorithmic transparency recommendations and sector-specific guidance.","France deploys the EU AI Act as a primary binding instrument alongside CNIL's binding GDPR-based enforcement (comprehensive fines totalling €486M+ in 2025) and sector-specific binding rules; CNIL has published a mature suite of AI recommendations (legitimate interest, development guidelines, PANAME audit tools) and the France 2030 plan commits ~€1.5–2.5B to AI with Bpifrance support programs and regulatory sandboxes. INESIA was established in February 2025 as a dedicated AI security and evaluation body, and CNIL, DGCCRF, ARCOM, and sector regulators form a resourced multi-authority structure.","France's AI governance involves multiple independent regulators—CNIL, DGCCRF, ARCOM, ACPR, ANSSI, INESIA—each with distinct remits, with DGCCRF proposed as single point of contact under the EU AI Act; inter-ministerial coordination exists through a national AI coordinator reporting to the Prime Minister and France 2030 governance, but formal statutory coordination mechanisms are still being finalized through the pending transposition decree. France is a unitary state with no meaningful subnational AI regulatory role, but courts and the Defender of Rights (Défenseur des droits) provide independent checks, and CNIL actively shapes rules through binding recommendations and enforcement.","Industry participated heavily in the February 2025 AI Action Summit (109B€ in pledges) and in CNIL's public consultations on AI recommendations; civil society was consulted in health AI strategy (70+ stakeholders in 2025) and at the Summit but lacks standing formal domestic policy roles; academia is involved through INESIA, the iPoP research programme, and advisory roles to CNIL's PANAME project; France leads internationally as co-chair of GPAI, active OECD participant, host of the 2025 AI Action Summit (61 signatories), and co-chair of international AI standards bodies.","The EU AI Act provides a comprehensive penalty framework (up to €35M or 7% of turnover) supplemented by GDPR fines enforced by CNIL, which issued record sanctions totalling over €486M in 2025 (including a €5M fine in May 2026), conducts routine audits with published outcomes, and has launched the PANAME AI audit methodology project; national competent authority designation for full AI Act enforcement is pending parliamentary adoption, slightly limiting dedicated AI-specific enforcement capacity.","EU AI Act (Regulation 2024/1689, 2024), GDPR (Regulation 2016/679), France 2030 National AI Strategy (2021, updated 2025), National Strategy on Data and AI in Healthcare 2025-2028, Draft Law on EU AI Act National Competent Authority Designation (2025, pending), Proposed Law on AI and Copyright (2026, pending Senate)",https://www.cnil.fr/en/entry-force-european-ai-regulation-first-questions-and-answers-cnil|https://www.hsfkramer.com/insights/reports/ai-tracker/france|https://www.twobirds.com/en/capabilities/artificial-intelligence/ai-legal-services/ai-regulatory-horizon-tracker/france|https://www.cnil.fr/en/tag/Sanctions|https://www.cnil.fr/en/ai-cnil-finalises-its-recommendations-development-artificial-intelligence-systems,2026-06-13,high
Gabon,"Gabon has no dedicated AI legislation, no AI-specific regulatory instruments in force, and no draft AI law in any legislative process as of mid-2026. General ICT and telecommunications laws exist but do not address AI systems in any meaningful way.","No AI-specific binding instruments, guidance documents, codes of practice, sandboxes, or dedicated institutional bodies have been established; the country lacks any formal AI policy infrastructure.","There is no AI governance structure of any kind in Gabon; no regulatory authority, coordination mechanism, subnational competence, or independent review body exists for AI oversight.","No domestic stakeholder consultations involving industry, civil society, or academia on AI policy have occurred; Gabon holds nominal AU membership and has been peripherally exposed to AU AI governance declarations but has not actively engaged in international AI governance forums or signed AI-specific agreements.","No AI enforcement framework, penalties, designated authority, or monitoring mechanism of any kind exists in Gabon.",,https://au.int/en/ai | https://oecd.ai/en/dashboards/countries/Gabon,2026-06-13,low
